gear-multimelta | Multi-Melta | type=upgrade
live-r2-r41-unit-xv-7-phosis-t-kar-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xv-8-magistus-amon-the-hidden-retinue-1-r37-spear-fa-seeker-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xv-8-magistus-amon-the-hidden-retinue-1-r37-spear-fa-seeker-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xv-8-magistus-amon-the-hidden-retinue-1-r37-spear-fa-seeker-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xv-8-magistus-amon-the-hidden-retinue-1-r83-ih-scions-8-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xv-8-magistus-amon-the-hidden-retinue-1-r83-ih-scions-9-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xv-8-magistus-amon-the-hidden-retinue-1-r40-da-steel-transport-fa-seeker-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
live-r2-r41-unit-xv-8-magistus-amon-the-hidden-retinue-1-r40-da-steel-transport-fa-seeker-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
live-r2-r41-unit-xv-8-magistus-amon-the-hidden-retinue-1-r40-da-steel-transport-fa-seeker-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
live-r2-r41-unit-xv-9-hathor-maat-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xv-9-hathor-maat-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xv-9-hathor-maat-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xv-9-hathor-maat-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xv-9-hathor-maat-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xv-10-sanakht-retinue-0-r41-unit-xv-1-khenetai-occult-blade-cabal-opt-1-hand-flamer | Hand Flamer | type=upgrade
live-r2-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-0-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-0-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-0-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-0-r83-ih-scions-12-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-0-r83-ih-scions-13-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-1-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-1-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-1-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-2-r41-unit-xv-0-sekhmet-terminator-cabal-opt-3-plasma-blaster | Plasma Blaster | type=upgrade
r41-unit-xvi-0-justaerin-terminator-squad-opt-8-multi-melta | Multi-Melta | type=upgrade
live-r2-r41-unit-xvi-4-ezekyle-abaddon-first-captain-retinue-0-r41-unit-xvi-0-justaerin-terminator-squad-opt-8-multi-melta | Multi-Melta | type=upgrade
live-r2-r41-unit-xvi-4-ezekyle-abaddon-first-captain-retinue-1-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xvi-4-ezekyle-abaddon-first-captain-retinue-1-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xvi-4-ezekyle-abaddon-first-captain-retinue-1-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xvi-5-horus-aximand-little-horus-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xvi-5-horus-aximand-little-horus-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xvi-5-horus-aximand-little-horus-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xvi-5-horus-aximand-little-horus-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xvi-5-horus-aximand-little-horus-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xvi-6-garviel-loken-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xvi-6-garviel-loken-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xvi-6-garviel-loken-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xvi-6-garviel-loken-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xvi-6-garviel-loken-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xvi-6-garviel-loken-retinue-1-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xvi-6-garviel-loken-retinue-1-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xvi-6-garviel-loken-retinue-1-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xvi-6-garviel-loken-retinue-1-r83-ih-scions-4-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xvi-6-garviel-loken-retinue-1-r83-ih-scions-5-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xvi-6-garviel-loken-retinue-1-r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
live-r2-r41-unit-xvi-6-garviel-loken-retinue-1-r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
live-r2-r41-unit-xvi-6-garviel-loken-retinue-1-r40-da-steel-transport-veteran-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
live-r2-r41-unit-xvi-8-tybalt-marr-the-either-retinue-0-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xvi-8-tybalt-marr-the-either-retinue-0-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xvi-8-tybalt-marr-the-either-retinue-0-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xvi-8-tybalt-marr-the-either-retinue-0-r83-ih-scions-4-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xvi-8-tybalt-marr-the-either-retinue-0-r83-ih-scions-5-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xvi-8-tybalt-marr-the-either-retinue-0-r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
live-r2-r41-unit-xvi-8-tybalt-marr-the-either-retinue-0-r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
live-r2-r41-unit-xvi-8-tybalt-marr-the-either-retinue-0-r40-da-steel-transport-veteran-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r41-unit-xvi-12-xvi-horus-lupercal-the-warmaster-r32-ret-just-r41-unit-xvi-0-justaerin-terminator-squad-opt-8-multi-melta | Multi-Melta | type=upgrade
r41-unit-xvi-13-xvi-horus-ascended-the-warmaster-r32-ret-just-r41-unit-xvi-0-justaerin-terminator-squad-opt-8-multi-melta | Multi-Melta | type=upgrade
r41-unit-xvii-3-mhara-gal-tainted-dreadnought-opt-0-multi-melta | Multi-Melta | type=upgrade
r41-unit-xvii-3-mhara-gal-tainted-dreadnought-opt-1-twin-linked-autocannon | Twin-linked Autocannon | type=upgrade
r41-unit-xvii-3-mhara-gal-tainted-dreadnought-opt-2-twin-linked-lascannon | Twin-linked Lascannon | type=upgrade
r41-unit-xvii-3-mhara-gal-tainted-dreadnought-opt-6-plasma-blaster | Plasma Blaster | type=upgrade
r41-unit-xvii-4-procurator-squad-opt-3-hand-flamer | Hand Flamer | type=upgrade
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xvii-8-kor-phaeron-the-black-cardinal-retinue-0-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xvii-8-kor-phaeron-the-black-cardinal-retinue-0-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xvii-8-kor-phaeron-the-black-cardinal-retinue-0-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
r41-unit-xviii-0-firedrake-terminator-squad-opt-1-multi-melta | Multi-Melta | type=upgrade
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-4-multi-melta-with-suspensor-web | Multi-Melta with Suspensor Web | type=upgrade
r41-unit-xviii-4-sanctifier-squad-opt-2-two-hand-flamers | Two Hand Flamers | type=upgrade
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-0-r41-unit-xviii-0-firedrake-terminator-squad-opt-1-multi-melta | Multi-Melta | type=upgrade
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-2-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-2-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-2-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-0-r41-unit-xviii-0-firedrake-terminator-squad-opt-1-multi-melta | Multi-Melta | type=upgrade
live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-1-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-1-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-1-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-1-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-1-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-2-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-2-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-2-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r41-unit-xix-2-deliverer-terminator-squad-opt-9-multi-melta | Multi-Melta | type=upgrade
r41-unit-xix-3-raptor-squad-opt-2-hand-flamer | Hand flamer | type=upgrade
live-r2-r41-unit-xix-5-alvarex-maun-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xix-5-alvarex-maun-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xix-5-alvarex-maun-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xix-5-alvarex-maun-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xix-5-alvarex-maun-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
r41-unit-xx-1-headhunter-kill-team-opt-3-multi-melta | Multi-Melta | type=upgrade
live-r2-r41-unit-xx-4-armillus-dynat-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xx-4-armillus-dynat-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xx-4-armillus-dynat-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xx-4-armillus-dynat-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xx-4-armillus-dynat-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xx-4-armillus-dynat-retinue-1-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xx-4-armillus-dynat-retinue-1-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xx-4-armillus-dynat-retinue-1-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xx-7-ingo-pech-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xx-7-ingo-pech-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xx-7-ingo-pech-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xx-7-ingo-pech-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xx-7-ingo-pech-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xx-7-ingo-pech-retinue-1-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xx-7-ingo-pech-retinue-1-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xx-7-ingo-pech-retinue-1-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r37-spear-fa-seeker-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r37-spear-fa-seeker-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r37-spear-fa-seeker-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r83-ih-scions-8-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r83-ih-scions-9-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r40-da-steel-transport-fa-seeker-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r40-da-steel-transport-fa-seeker-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r40-da-steel-transport-fa-seeker-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land | Land Raider Phobos (10 models or fewer) | type=model
r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-5 | Land Raider Proteus (10 models or fewer) | type=model
r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-r40-da-steel-transport-veteran-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r42-role-xiv-0-legion-heavy-support-squads-r37-spear-hs-hss-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r42-role-xiv-0-legion-heavy-support-squads-r37-spear-hs-hss-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r42-role-xiv-0-legion-heavy-support-squads-r37-spear-hs-hss-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r42-role-xiv-0-legion-heavy-support-squads-r40-da-steel-transport-hs-heavy-support-squad-r37-spear-tac-transport-src-hq-praetor-ret-h | Land Raider Phobos (10 models or fewer) | type=model
r42-role-xiv-0-legion-heavy-support-squads-r40-da-steel-transport-hs-heavy-support-squad-r37-spear-tac-transport-src-hq-praetor-ret-h-5 | Land Raider Proteus (10 models or fewer) | type=model
r42-role-xiv-0-legion-heavy-support-squads-r40-da-steel-transport-hs-heavy-support-squad-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r42-role-xv-1-initiates-of-the-scarab-sekhmet-terminator-cabals-r41-unit-xv-0-sekhmet-terminator-cabal-opt-3-plasma-blaster | Plasma Blaster | type=upgrade
live-r2-r42-role-xv-crimson-magnus-hq-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-0-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r42-role-xv-crimson-magnus-hq-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-0-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r42-role-xv-crimson-magnus-hq-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-0-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r42-role-xv-crimson-magnus-hq-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-0-r83-ih-scions-12-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r42-role-xv-crimson-magnus-hq-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-0-r83-ih-scions-13-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r42-role-xv-crimson-magnus-hq-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-1-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r42-role-xv-crimson-magnus-hq-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-1-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r42-role-xv-crimson-magnus-hq-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-1-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r42-role-xv-crimson-magnus-hq-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-2-r41-unit-xv-0-sekhmet-terminator-cabal-opt-3-plasma-blaster | Plasma Blaster | type=upgrade
r42-role-xviii-0-salamanders-infernus-destroyer-squads-r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-4-multi-melta-with-suspensor-web | Multi-Melta with Suspensor Web | type=upgrade
r42-role-xx-1-effects-headhunter-elite-headhunter-kill-teams-r41-unit-xx-1-headhunter-kill-team-opt-3-multi-melta | Multi-Melta | type=upgrade
r46-al-reward-6-r41-unit-iv-2-dominator-cohort-opt-8-multi-melta | Multi-Melta | type=upgrade
r46-al-reward-8-r41-unit-v-0-golden-keshig-squadron-opt-3-multi-melta | Multi-Melta | type=upgrade
r46-al-reward-19-r41-unit-viii-1-night-raptor-squad-opt-4-hand-flamer | Hand Flamer | type=upgrade
r46-al-reward-22-r41-unit-ix-1-crimson-paladin-squad-opt-4-plasma-blaster | Plasma Blaster | type=upgrade
r46-al-reward-24-r41-unit-ix-4-grav-chariot-squadron-opt-0-multi-melta | Multi-Melta | type=upgrade
r46-al-reward-26-r41-unit-x-1-gorgon-terminator-squad-opt-10-plasma-blaster | Plasma Blaster | type=upgrade
r46-al-reward-27-r41-unit-x-2-morlock-terminator-squad-opt-10-plasma-blaster | Plasma Blaster | type=upgrade
r46-al-reward-30-r41-unit-xii-2-red-hand-destroyer-mortalis-squad-opt-1-hand-flamer | Hand flamer | type=upgrade
r46-al-reward-36-r41-unit-xiii-2-locutarus-storm-squad-opt-0-hand-flamer | Hand Flamer | type=upgrade
r46-al-reward-41-r41-unit-xv-0-sekhmet-terminator-cabal-opt-3-plasma-blaster | Plasma Blaster | type=upgrade
r46-al-reward-42-r41-unit-xv-1-khenetai-occult-blade-cabal-opt-1-hand-flamer | Hand Flamer | type=upgrade
r46-al-reward-46-r41-unit-xvi-0-justaerin-terminator-squad-opt-8-multi-melta | Multi-Melta | type=upgrade
r46-al-reward-51-r41-unit-xvii-4-procurator-squad-opt-3-hand-flamer | Hand Flamer | type=upgrade
r46-al-reward-53-r41-unit-xviii-0-firedrake-terminator-squad-opt-1-multi-melta | Multi-Melta | type=upgrade
r46-al-reward-55-r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-4-multi-melta-with-suspensor-web | Multi-Melta with Suspensor Web | type=upgrade
r46-al-reward-57-r41-unit-xviii-4-sanctifier-squad-opt-2-two-hand-flamers | Two Hand Flamers | type=upgrade
r46-al-reward-60-r41-unit-xix-2-deliverer-terminator-squad-opt-9-multi-melta | Multi-Melta | type=upgrade
r46-al-reward-61-r41-unit-xix-3-raptor-squad-opt-2-hand-flamer | Hand flamer | type=upgrade
r52-ec-sonic-hss-r37-spear-hs-hss-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r52-ec-sonic-hss-r37-spear-hs-hss-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r52-ec-sonic-hss-r37-spear-hs-hss-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r52-ec-sonic-hss-r40-da-steel-transport-hs-heavy-support-squad-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
