R34 DIAGNOSTIC — REFERENCE RULES / SONS OF HORUS / NAMES
CAT revision=33

PLACEHOLDER RULES (805):
Daemonic Aura | The model gains a 5+ Invulnerable Save. | Daemonic Aura > Legiones Astartes | r47-wb-favour-aura-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Command Squad > Retinue (does not occupy a separate FOC slot) > HIGH CHAPLAIN EREBUS | live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-r71-nl-bj-11-rule
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Command Squad > Retinue (does not occupy a separate FOC slot) | live-r2-fabius-enhanced-live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-rule
Beyond Judgement | Under Horror Cult this unit purchases Beyond Judgement for +25 points. Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model; multiple Trophies penalties remain non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Terminator Command Squad > Retinue (does not occupy a separate FOC slot) > KOR PHAERON, THE BLACK CARDINAL | live-r2-r41-unit-xvii-8-kor-phaeron-the-black-cardinal-retinue-0-r73-nl-bj-11-rule
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Command Squad > Retinue (does not occupy a separate FOC slot) > HOL BELOTH | live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-r71-nl-gen-10-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Command Squad > Retinue (does not occupy a separate FOC slot) > HOL BELOTH | live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-r71-nl-bj-11-rule
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Command Squad > Retinue (does not occupy a separate FOC slot) | live-r2-fabius-enhanced-live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-rule
Source Entry | Adherent | 4 | 4 | 4 | 4 | 1 | 4 | 2 | 8 | 3+
Adherent Sergeant | 4 | 4 | 4 | 4 | 1 | 4 | 2 | 9 | 3+
GUIDED BY PROPHECY At the beginning of an Assault phase, the squad may take a Leadership test using Leadership 7 regardless of the Leadership of any model in the unit. If the test is passed, until the end of that Assault phase the squad has Weapon Skill 5 and Feel No Pain (6+). If the test is failed, there is no effect.
Force Organisation:
• Troops
Unit Composition:
• 4 Adherents
• 1 Adherent Sergeant
Unit Type:
• Infantry
• The Adherent Sergeant is a Character
Wargear:
• Power Armour
• Combi-flamer
• Bolt pistol
• Chainsword
• Frag grenades
Special Rules:
• Legiones Astartes (Salamanders)
• Support Squad
• Guided by Prophecy
OPTIONS
• The squad may include up to five additional Adherents for +22 points per model.
• For every five models in the squad, one Adherent may replace his Combi-flamer with:
• Heavy Flamer ................................. +10 points
• The entire squad may take:
• Krak grenades ............................ +2 points per model
• Melta bombs .............................. +5 points per model
ADHERENT SERGEANT
The Adherent Sergeant may replace his Chainsword with:
• Rending Weapon ................................ +5 points
• Power weapon ................................. +10 points
• Power fist .................................... +15 points
• Thunder hammer ............................... +20 points
The Sergeant may take:
• Artificer Armour ............................. +10 points
The Sergeant may select up to 50 points of permitted weapons and wargear from the Space Marine Armoury and Salamanders Armoury.
DEDICATED TRANSPORT
The squad may select a Rhino, Drop Pod or Dreadclaw Drop Pod. | ADHERENT SQUAD > Legiones Astartes | r41-unit-xviii-3-adherent-squad-source
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Command Squad > Retinue (does not occupy a separate FOC slot) > ARTELLUS NUMEON | live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-r71-nl-gen-10-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Command Squad > Retinue (does not occupy a separate FOC slot) > ARTELLUS NUMEON | live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-r71-nl-bj-11-rule
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Command Squad > Retinue (does not occupy a separate FOC slot) | live-r2-fabius-enhanced-live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-hq-centurion-ret-command-rule
Beyond Judgement | Under Horror Cult this unit purchases Beyond Judgement for +25 points. Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model; multiple Trophies penalties remain non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Terminator Command Squad > Retinue (does not occupy a separate FOC slot) > ARTELLUS NUMEON | live-r2-r41-unit-xviii-5-artellus-numeon-retinue-2-r73-nl-bj-11-rule
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Command Squad > Retinue (does not occupy a separate FOC slot) > LORD CHAPLAIN NOMUS RHY'TAN | live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-1-r71-nl-gen-10-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Command Squad > Retinue (does not occupy a separate FOC slot) > LORD CHAPLAIN NOMUS RHY'TAN | live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-1-r71-nl-bj-11-rule
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Command Squad > Retinue (does not occupy a separate FOC slot) | live-r2-fabius-enhanced-live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-1-hq-centurion-ret-command-rule
Beyond Judgement | Under Horror Cult this unit purchases Beyond Judgement for +25 points. Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model; multiple Trophies penalties remain non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Terminator Command Squad > Retinue (does not occupy a separate FOC slot) > LORD CHAPLAIN NOMUS RHY'TAN | live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-2-r73-nl-bj-11-rule
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Command Squad > Retinue (does not occupy a separate FOC slot) > ALVAREX MAUN | live-r2-r41-unit-xix-5-alvarex-maun-retinue-0-r71-nl-gen-10-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Command Squad > Retinue (does not occupy a separate FOC slot) > ALVAREX MAUN | live-r2-r41-unit-xix-5-alvarex-maun-retinue-0-r71-nl-bj-11-rule
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Command Squad > Retinue (does not occupy a separate FOC slot) | live-r2-fabius-enhanced-live-r2-r41-unit-xix-5-alvarex-maun-retinue-0-hq-centurion-ret-command-rule
Source Entry | Operative | 3 | 3 | 3 | 3 | 1 | 3 | 1 | 7 | 6+
Operative Leader | 3 | 3 | 3 | 3 | 1 | 3 | 2 | 8 | 6+
Force Organisation:
• Troops
Unit Composition:
• 10 Legion Operatives
Unit Type:
• Infantry
• Operative Leader is a Character
Wargear:
• Close-combat weapon
• Laspistol or Autopistol
Special Rules:
• Operative Cell
• Human Agents
OPTIONS
• The squad may include up to ten additional Operatives for +6 points per model.
• The entire squad may take:
• Frag grenades ........................... +1 point per model
• Krak grenades ........................... +1 point per model
• Melta bombs ............................. +2 points per model
• One Operative may be upgraded to an Operative Leader for +5 points.
• The Operative Leader may select up to 10 points of weapons from the Space Marine Armoury.
OPERATIVE CELL Before deployment, select one of the following skill sets for the unit at no additional points cost: - Scouts The unit gains Infiltrate and Move Through Cover. - Assassins The unit gains Infiltrate and Furious Charge. - Saboteurs The unit gains Infiltrate and Siege Specialists. HUMAN AGENTS Legion Operatives do not possess Legiones Astartes and do not benefit from Mutable Tactics or other rules which specifically affect Alpha Legion Space Marines. | LEGION OPERATIVES > Legiones Astartes | r41-unit-xx-0-legion-operatives-source
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Command Squad > Retinue (does not occupy a separate FOC slot) > ARMILLUS DYNAT | live-r2-r41-unit-xx-4-armillus-dynat-retinue-0-r71-nl-gen-10-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Command Squad > Retinue (does not occupy a separate FOC slot) > ARMILLUS DYNAT | live-r2-r41-unit-xx-4-armillus-dynat-retinue-0-r71-nl-bj-11-rule
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Command Squad > Retinue (does not occupy a separate FOC slot) | live-r2-fabius-enhanced-live-r2-r41-unit-xx-4-armillus-dynat-retinue-0-hq-centurion-ret-command-rule
Beyond Judgement | Under Horror Cult this unit purchases Beyond Judgement for +25 points. Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model; multiple Trophies penalties remain non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Terminator Command Squad > Retinue (does not occupy a separate FOC slot) > ARMILLUS DYNAT | live-r2-r41-unit-xx-4-armillus-dynat-retinue-1-r73-nl-bj-11-rule
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Command Squad > Retinue (does not occupy a separate FOC slot) > INGO PECH | live-r2-r41-unit-xx-7-ingo-pech-retinue-0-r71-nl-gen-10-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Command Squad > Retinue (does not occupy a separate FOC slot) > INGO PECH | live-r2-r41-unit-xx-7-ingo-pech-retinue-0-r71-nl-bj-11-rule
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Command Squad > Retinue (does not occupy a separate FOC slot) | live-r2-fabius-enhanced-live-r2-r41-unit-xx-7-ingo-pech-retinue-0-hq-centurion-ret-command-rule
Beyond Judgement | Under Horror Cult this unit purchases Beyond Judgement for +25 points. Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model; multiple Trophies penalties remain non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Terminator Command Squad > Retinue (does not occupy a separate FOC slot) > INGO PECH | live-r2-r41-unit-xx-7-ingo-pech-retinue-1-r73-nl-bj-11-rule
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Seeker Squad > Retinue (does not occupy a separate FOC slot) > INGO PECH | live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r71-nl-gen-7-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Seeker Squad > Retinue (does not occupy a separate FOC slot) > INGO PECH | live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r71-nl-bj-8-rule
Infiltrate & Move Through Cover | The squad has Infiltrate and Move Through Cover as defined in ProHammer Classic. | Legion Seeker Squad > Retinue (does not occupy a separate FOC slot) > INGO PECH > Legiones Astartes | live-r2-r41-unit-xx-7-ingo-pech-retinue-3-fa-seeker-move
Cult Arcana — Quickblood | This unit gains Fleet. | Pavoni > Prosperine Cult > Legion Seeker Squad > Retinue (does not occupy a separate FOC slot) | r19-cult-live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r45-cult-fa-seeker-0-arcana
Cult Mastery — Quickblood | If this unit has the Psyker or Brotherhood of Psykers special rule, it also gains Crusader. | Pavoni > Prosperine Cult > Legion Seeker Squad > Retinue (does not occupy a separate FOC slot) | r19-cult-live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r45-cult-fa-seeker-0-mastery
Cult Mastery — Kine Shields | If this unit has the Psyker or Brotherhood of Psykers special rule, models instead gain a 5+ Invulnerable Save against shooting; an existing Invulnerable Save improves by 1 against shooting to a maximum of 4+, and Cover Saves against shooting improve by 1 to a maximum of 3+. These benefits do not apply in close combat. | Raptora > Prosperine Cult > Legion Seeker Squad > Retinue (does not occupy a separate FOC slot) | r19-cult-live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r45-cult-fa-seeker-1-mastery
Cult Mastery — Precognitive Strike | If this unit has the Psyker or Brotherhood of Psykers special rule, it may also re-roll To Hit rolls of 1 when making Overwatch, Return Fire and Stand & Shoot attacks. | Corvidae > Prosperine Cult > Legion Seeker Squad > Retinue (does not occupy a separate FOC slot) | r19-cult-live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r45-cult-fa-seeker-2-mastery
Cult Arcana — Discipline of the Mind | This unit gains Stubborn and may re-roll failed Pinning tests. | Athanaeans > Prosperine Cult > Legion Seeker Squad > Retinue (does not occupy a separate FOC slot) | r19-cult-live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r45-cult-fa-seeker-3-arcana
Cult Mastery — Discipline of the Mind | If this unit has the Psyker or Brotherhood of Psykers special rule, it additionally gains Adamantium Will. | Athanaeans > Prosperine Cult > Legion Seeker Squad > Retinue (does not occupy a separate FOC slot) | r19-cult-live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r45-cult-fa-seeker-3-mastery
Cult Arcana — Ashen Blow | This unit gains Hammer of Wrath. | Pyrae > Prosperine Cult > Legion Seeker Squad > Retinue (does not occupy a separate FOC slot) | r19-cult-live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r45-cult-fa-seeker-4-arcana
Cult Mastery — Ashen Blow | If this unit has the Psyker or Brotherhood of Psykers special rule, close-combat attacks and Flame weapons used by models in the unit gain Soul Blaze. | Pyrae > Prosperine Cult > Legion Seeker Squad > Retinue (does not occupy a separate FOC slot) | r19-cult-live-r2-r41-unit-xx-7-ingo-pech-retinue-3-r45-cult-fa-seeker-4-mastery
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Seeker Squad > Retinue (does not occupy a separate FOC slot) | live-r2-fabius-enhanced-live-r2-r41-unit-xx-7-ingo-pech-retinue-3-fa-seeker-rule
Source Entry | Kakophoni | 4 | 4 | 4 | 4 | 1 | 5 | 1 | 10 | 3+
Cacophonic Champion | 4 | 4 | 4 | 4 | 1 | 5 | 2 | 10 | 3+
Force Organisation:
• Heavy Support
CACOPHONY If an enemy unit suffers one or more casualties from shooting attacks made by a Kakophoni Squad, it must take a Pinning test after the squad has finished firing.
Unit Composition:
• 5 Kakophoni
• 1 Cacophonic Champion
Unit Type:
• Infantry
• The Cacophonic Champion is a Character
Wargear:
• Power Armour
• Sonic Blaster
• Frag grenades
Special Rules:
• Legiones Astartes (Emperor's Children)
• Fearless
• Cacophony
Restriction:
• Traitor armies only
OPTIONS
• The squad may include up to six additional Kakophoni
for +25 points per model.
• For every three models in the squad, one Kakophoni may replace his Sonic Blaster with:
• Blastmaster .................................. +15 points
• The Cacophonic Champion may replace his Sonic Blaster with:
• Doom Siren and bolt pistol .................. Free
• The entire squad may take:
• Krak grenades .............................. +2 points per model
• The Cacophonic Champion may take:
• Power weapon ................................. +10 points
• Power fist ................................... +15 points
• Melta bombs .................................. +5 points
DEDICATED TRANSPORT
A squad of ten models or fewer may select a Rhino, Drop Pod or Land Raider where Transport Capacity permits. | KAKOPHONI SQUAD > Legiones Astartes | r42-role-iii-1-effects-chosen-of-vairosean-kakophoni-squads-r41-unit-iii-2-kakophoni-squad-source
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > KAKOPHONI SQUAD > Legiones Astartes | live-r2-fabius-enhanced-r42-role-iii-1-effects-chosen-of-vairosean-kakophoni-squads-r41-unit-iii-2-kakophoni-squad-rule
Rite of War Interaction | The Stone Gauntlet is the embodiment of the VII Legion's doctrine of unyielding defence.
Warriors advance shoulder to shoulder behind interlocking shields, absorbing the fury of the enemy before crushing resistance beneath a methodical counter-assault.
EFFECTS
WARDERS OF THE PHALANX
Phalanx Warder Squads may be selected as Troops choices.
They may fulfil compulsory Troops selections.
Legion Breacher Siege Squads may also fulfil compulsory Troops selections normally.
SHIELD WALL
An Imperial Fists Infantry unit in which every model is equipped with either a Boarding Shield or Vigil Pattern Storm Shield may form a Shield Wall. The Shield Wall is active provided that:
• the unit did not Advance during its preceding Movement phase;
• the unit is not Falling Back;
• the unit did not charge during the current player turn.
While the Shield Wall is active, models in the unit may re-roll failed Invulnerable Saves granted by Boarding Shields or Vigil Pattern Storm Shields. A re-rolled save may never be re-rolled again.
UNYIELDING LINE
While its Shield Wall is active, the unit gains the Stubborn special rule and may re-roll failed Pinning tests.
THE HAMMER BEHIND THE SHIELD
Models equipped with Boarding Shields gain the Hammer of Wrath special rule.
This uses the normal ProHammer definition of Hammer of Wrath.
A model does not receive an additional attack; instead, one of its normally allowed attacks may be resolved at Initiative 10 during a turn in which it charges.
LIMITATIONS
The army's compulsory Troops choices must be selected from:
• Legion Breacher Siege Squads
• Phalanx Warder Squads
The Detachment must include at least one Independent Character equipped with either a Boarding Shield or Vigil Pattern Storm Shield.
No unit in the Detachment may voluntarily deploy using Deep Strike.
The army may include no more than one Fast Attack choice. | PHALANX WARDER SQUAD > Legiones Astartes | r42-role-vii-0-effects-warders-of-the-phalanx-phalanx-warder-squads-rite-note
Rite of War Interaction | Originally devised for forces deployed from the Phalanx, the Hammerfall Strike Force concentrates elite ship-borne formations for sudden teleport assaults into the heart of the enemy position.
EFFECTS
LANDING FORCE
Phalanx Warder Squads may be selected as Troops choices.
They may fulfil compulsory Troops selections.
TELEPORT ARRAY
Any Imperial Fists Infantry unit may purchase Teleportation Transponders for +15 points per unit.
An Imperial Fists Independent Character may purchase Teleportation Transponders for +10 points.
This overrides the normal restriction limiting Teleportation Transponders to models wearing Terminator Armour.
A unit equipped with Teleportation Transponders may deploy using Deep Strike even if the mission would not normally permit Deep Strike.
An Independent Character intending to Deep Strike as part of another unit must purchase Teleportation Transponders separately.
BLINDING LUMINESCENCE
An Imperial Fists unit arriving by Deep Strike using Teleportation Transponders gains the Shrouded special rule from the moment it is placed on the battlefield until the beginning of its next player turn.
After the unit has been placed, every enemy unit with at least one model:
• within 12" of the arriving unit; and
• with line of sight to at least one model in the arriving unit
must immediately take an Initiative test. If the test is failed, that enemy unit suffers the effects of the Blind special rule:
• Weapon Skill 1
• Ballistic Skill 1
until the end of its next player turn.
Each enemy unit only makes one such test per arriving Imperial Fists unit.
LIMITATIONS
The army's Warlord must be equipped with Teleportation Transponders.
Every Vehicle in the Detachment must begin the battle in Reserve.
The Detachment may not include a Fortification. | PHALANX WARDER SQUAD > Legiones Astartes | r42-role-vii-1-effects-landing-force-phalanx-warder-squads-rite-note
Rite of War Interaction | The Templar brethren represent the martial traditions of the VII Legion at their most aggressive.
Where other Imperial Fists formations hold the line or break fortifications through methodical siegecraft, a Templar assault is a direct application of overwhelming force intended to destroy the enemy in close combat.
EFFECTS
TEMPLAR HOST
Templar Brethren Squads may be selected as Troops choices.
They may fulfil compulsory Troops selections.
CRUSADING ASSAULT
During an Assault phase in which a Templar Brethren Squad charged after disembarking from a vehicle with the Assault Vehicle special rule during the same player turn, the squad gains the Furious Charge special rule. In addition, its normal charge distance is increased from 6" to 7" for that Assault phase.
SWORDS OF THE LEGION
During the first round of a close combat in which a Templar Brethren Squad charged, models in that squad may re-roll To Hit rolls of 1 with:
• Rending Weapons
• Power Weapons
• Relic Blades
• other weapons specifically stated to count as swords
ASSAULT TRANSPORTS
A Templar Brethren Squad may select one of the following as a Dedicated Transport at its normal points cost:
• Land Raider Phobos
• Land Raider Proteus
A Templar Brethren Squad of a size which cannot be carried by either vehicle may instead select a Legion Spartan Assault Tank at its normal points cost.
All normal Transport Capacity restrictions apply.
LIMITATIONS
The army's compulsory Troops choices must be Templar Brethren Squads.
The army may include no more than one Fast Attack choice.
The army may not include a Fortification.
The army's Warlord must be equipped with a Power Weapon, Rending Weapon, Relic Blade or another sword-like close-combat weapon which ignores Armour Saves. | TEMPLAR BRETHREN SQUAD > Legiones Astartes | r42-role-vii-2-effects-templar-host-templar-brethren-squads-rite-note
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Veteran Squad > Legiones Astartes | r71-nl-gen-34-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Veteran Squad > Legiones Astartes | r71-nl-bj-41-rule
Resolve | The squad gains the Stubborn special rule. | Resolve > Veteran Tactic (choose one) > Legion Veteran Squad > Legiones Astartes | r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-tactic-resolve-rule
Assault Veterans | The squad gains the Furious Charge special rule. | Assault Veterans > Veteran Tactic (choose one) > Legion Veteran Squad > Legiones Astartes | r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-tactic-assault-rule
Counter-Assault | The squad gains the Counter-Attack special rule. | Counter-Assault > Veteran Tactic (choose one) > Legion Veteran Squad > Legiones Astartes | r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-tactic-counter-rule
Machine Killers | The squad gains the Tank Hunters special rule. | Machine Killers > Veteran Tactic (choose one) > Legion Veteran Squad > Legiones Astartes | r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-tactic-machine-rule
Recon Veterans | The squad gains the Infiltrate special rule. | Recon Veterans > Veteran Tactic (choose one) > Legion Veteran Squad > Legiones Astartes | r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-tactic-recon-rule
Jump Packs | The entire squad becomes Jump Infantry. The squad may not select a Dedicated Transport. This option is only available if the squad has not selected a Heavy weapon. | Jump Packs (+15 pts/model) > Individual Wargear > Legion Veteran Squad > Legiones Astartes | r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-jump-rule
Jump Packs | The entire squad becomes Jump Infantry. The squad may not select a Dedicated Transport. This option is only available if the squad has not selected a Heavy weapon. | Jump Packs (Legion Assault Company — +10 pts/model) > Individual Wargear > Legion Veteran Squad > Legiones Astartes | r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-r35-assault-jp-veteran-jump-rule
